t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
44,1000,501,499,383,116,0,2886,2186,0.0438480980980981,0.6238125,0.3761875,59,20,0,437.9560518301786,8,0.7656249889155532,0.9654572611236373,0.6899922771391183,0.9072953684922461
45,1000,489,511,394,107,0,2961,2241,0.04558821321321321,0.6045,0.39549999999999996,61,20,0,450.81924365892047,8,0.7591214451617765,0.9576503395159325,0.6820148507110327,0.9005664804201335
46,1000,490,510,378,111,0,2833,2154,0.04596130505505505,0.60975,0.39025,67,19,0,443.5325159087382,8,0.7666681078137603,0.9635514414028449,0.6712150786635246,0.9042301033654659
47,1000,506,494,394,96,0,2983,2282,0.04706443943943944,0.608125,0.391875,54,19,0,448.2547529395459,8,0.7666920034379736,0.9597136869405534,0.6889291160360295,0.9023512546285841
48,1000,484,516,375,131,0,2802,2150,0.04763047422422422,0.6259375,0.37406249999999996,64,19,0,422.93233082706763,8,0.7725088005834931,0.9642044445142431,0.6648482133384541,0.9080466877517983
49,1000,521,479,382,102,0,2879,2244,0.04963438438438438,0.6213125,0.37868749999999995,51,19,0,441.0578812150521,8,0.7724111127763501,0.9636798623305639,0.6777297206172889,0.9106991803543433
50,1000,532,468,385,136,0,2892,2249,0.050894394394394395,0.6223125,0.37768749999999995,34,18,0,447.51898313784096,8,0.7825304008804342,0.9625635849967727,0.6656062604355631,0.9088071454200444
51,1000,506,494,388,144,0,2915,2275,0.0523783470970971,0.6279375,0.37206249999999996,52,17,0,415.7112245123379,8,0.7751531143327911,0.965008095758503,0.6753546635255203,0.9095336627749545
52,1000,529,471,373,133,0,2804,2164,0.05266122372372373,0.6190625,0.38093750000000004,52,17,0,417.4512874982747,8,0.7688853556083073,0.9582101197680944,0.6699526388310738,0.9048939924164919
53,1000,535,465,382,147,0,2830,2188,0.05412515640640641,0.6206875,0.37931250000000005,54,17,0,435.52642574883896,8,0.7732498603633915,0.9591673068700163,0.6568399566168295,0.9064386546614932
54,1000,486,514,373,162,0,2786,2165,0.055515890890890894,0.6215,0.37849999999999995,61,16,0,433.9644416718653,8,0.7777954397402445,0.9607232639249195,0.6558562181981513,0.9086267240878525
55,1000,500,500,385,101,0,2885,2200,0.058405436686686685,0.590875,0.40912499999999996,42,15,0,432.439134684113,8,0.7668388284181048,0.9593753419896447,0.6594964252700546,0.9084436617983688
56,1000,515,485,386,114,0,2882,2219,0.05911883758758759,0.6165625,0.3834375,56,15,0,436.32423567998126,8,0.7722752802336642,0.9573287139655938,0.6605899373607566,0.9050501497921031
57,1000,522,478,373,142,0,2787,2159,0.060445570570570574,0.5925625,0.4074375,61,15,0,417.4512874982747,8,0.7718679549895265,0.9619796759153351,0.6518936934769908,0.9085037780698724
58,1000,488,512,381,141,0,2865,2255,0.061431337587587585,0.58125,0.41874999999999996,55,15,0,442.16769115487955,8,0.7776233835877602,0.9627867850157715,0.6563450773081067,0.9049103764026913
59,1000,531,469,379,109,0,2841,2159,0.06212937937937938,0.56675,0.43325,59,15,0,422.17180074241054,8,0.7608632190514107,0.958211615869355,0.6462642325648847,0.903426658009449
60,1000,506,494,375,156,0,2805,2230,0.06359193568568569,0.5735625,0.4264375,58,15,0,424.8489425981873,8,0.781242693987122,0.9614821918551996,0.6388319850140836,0.9055624922192198
61,1000,501,499,387,119,0,2895,2181,0.06401661036036035,0.5513125,0.4486875,53,15,0,463.4673169342935,8,0.7665419180049244,0.96218741210969,0.6427075846864196,0.9057423710629108
62,1000,505,495,379,122,0,2851,2115,0.0663335523023023,0.5511875,0.44881249999999995,47,14,0,427.4088444806798,8,0.7556460599800728,0.9606949448391713,0.6552426575511773,0.9027997929725177
63,1000,511,489,366,139,0,2751,2053,0.06587778403403403,0.5476875,0.4523125,58,14,0,398.74502893339366,8,0.7528316677861759,0.959239059612522,0.6445732330861506,0.8988849263818174
64,1000,487,513,394,117,0,2923,2200,0.06727393018018019,0.5550625,0.4449375,60,14,0,439.7495821648112,8,0.7631389194355244,0.9611598706425218,0.63306811718333,0.9008714507233899
65,1000,496,504,379,108,0,2836,2121,0.06809963088088088,0.5455625,0.45443750000000005,51,12,0,419.83351746955907,8,0.7574968287480058,0.9632460670836308,0.6405674958705968,0.9050448580916378
