t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
56,1000,507,493,496,0,0,3742,2947,0.02613651151151151,0.9709375,0.02906249999999999,3,19,0,538.5827874881782,8,0.78182610613307,0.9577062752881238,0.6460191370267844,0.9108715730935251
57,1000,494,506,493,14,0,3671,2896,0.026556744244244243,0.9755,0.024499999999999966,2,19,0,561.6305724241836,8,0.7864159559793162,0.9612919827350273,0.6308905047642214,0.9137460883640511
58,1000,511,489,494,0,0,3710,2930,0.026861517767767767,0.9731875,0.026812500000000017,1,19,0,542.944102805984,8,0.7895748660063517,0.96185103699107,0.6420322871255952,0.915603234392022
59,1000,496,504,489,22,0,3670,2953,0.02700153278278278,0.974875,0.025124999999999953,0,19,0,555.9944940220147,8,0.7904597139430697,0.9635570819862351,0.6477312600089494,0.9140734494591972
60,1000,496,504,496,0,0,3738,2965,0.02735016266266266,0.973125,0.026874999999999982,2,19,0,548.7117265006067,8,0.7894110976893575,0.9620022559577803,0.6296748109898879,0.9135318834343878
61,1000,473,527,496,0,0,3713,2949,0.027916166166166167,0.97275,0.027249999999999996,4,17,0,559.2289507183124,8,0.7883318082780847,0.96168337561572,0.6320800033399251,0.9148247824716266
62,1000,505,495,473,0,0,3561,2813,0.02859612737737738,0.9705,0.02949999999999997,4,16,0,536.3313172574656,8,0.7913116947106048,0.9645107056765821,0.6336885444237189,0.9155245730989467
63,1000,490,510,495,10,0,3747,2943,0.029175894644644644,0.9736875,0.02631249999999996,1,16,0,540.4526104506253,8,0.7909801836815588,0.9684818278296677,0.6262750359623849,0.9175725672070429
64,1000,520,480,490,0,0,3726,2904,0.029979635885885886,0.9723125,0.027687499999999976,1,16,0,557.7106222851967,8,0.7770686013625315,0.9596878153502134,0.6295915257233327,0.9094559357974953
65,1000,521,479,480,40,0,3595,2816,0.03023633008008008,0.9715,0.02849999999999997,1,16,0,511.5452930728242,8,0.7899528586796828,0.9627107137556415,0.6232371726459427,0.9135463669129401
66,1000,494,506,479,42,0,3599,2799,0.030689502002002003,0.97025,0.029750000000000054,0,16,0,524.5528722939715,8,0.783231974736259,0.966475294971425,0.61492092074264,0.9145439082310066
67,1000,494,506,494,0,0,3744,2909,0.031460272772772774,0.9706875,0.029312499999999964,1,16,0,547.1536512634245,8,0.7795921172154353,0.9676390736285931,0.6224360068238473,0.9162504714948808
68,1000,533,467,494,0,0,3754,2856,0.03172231606606606,0.9694375,0.030562500000000048,0,16,0,515.7360835200135,8,0.7637804271717873,0.9604819931085631,0.6215034950021419,0.909429037410913
69,1000,493,507,467,66,0,3508,2717,0.03202859109109109,0.9693125,0.03068749999999998,1,16,0,527.4832386830877,8,0.7755055088615329,0.9640020214903513,0.6166093124468076,0.9126402252402609
70,1000,497,503,493,0,0,3717,2909,0.03288313313313313,0.9709375,0.02906249999999999,2,15,0,570.0732032827719,8,0.7831393761586202,0.9639670832849792,0.6013168123369279,0.9177627540065485
71,1000,508,492,497,0,0,3745,2883,0.03317986736736737,0.967,0.03300000000000003,1,15,0,537.3183353744886,8,0.7825853344957138,0.9634455778724665,0.6066627224448519,0.9157120229757432
72,1000,506,494,492,16,0,3716,2915,0.033898961461461465,0.9685,0.03149999999999997,1,15,0,554.8414306539897,8,0.7814948918601565,0.9606158079760792,0.6003622254403372,0.9118763136705079
73,1000,520,480,494,12,0,3700,2916,0.034307432432432436,0.9678125,0.032187500000000036,0,15,0,560.1832722731821,8,0.7904404595108168,0.9648266651420379,0.597375225345874,0.9217896207926617
74,1000,513,487,480,40,0,3620,2874,0.03484518893893894,0.9646875,0.03531249999999997,0,15,0,533.1358756016291,8,0.7892521613647577,0.9614847408146339,0.6027984951434171,0.917952597015864
75,1000,487,513,487,26,0,3648,2852,0.0353211961961962,0.96675,0.03325,1,15,0,529.7474659483316,8,0.7806678939337368,0.9569356030548657,0.6037744824184954,0.9137773115831708
76,1000,467,533,487,0,0,3613,2777,0.035468343343343346,0.9675625,0.03243750000000001,0,14,0,558.9311048580572,8,0.7750807731837874,0.9604265260274351,0.5827958841555589,0.9146261605132711
77,1000,549,451,467,0,0,3495,2675,0.03619322447447448,0.966125,0.03387499999999999,3,14,0,497.1595960517018,8,0.776791129127661,0.9600737394102857,0.597817364012221,0.9178279627975261
