t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
41,1000,511,489,498,4,0,3719,2925,0.019118993993993996,0.981125,0.018874999999999975,0,29,0,550.2860109789164,8,0.7874614345051648,0.9567799340799702,0.6832938932187673,0.9109130021375771
42,1000,507,493,489,22,0,3627,2909,0.019453015515515516,0.979375,0.020625000000000004,2,29,0,545.4514349062823,8,0.7959923106046132,0.957463258478477,0.6711304806483049,0.9129826183525342
43,1000,477,523,493,14,0,3659,2904,0.019773116866866867,0.980625,0.01937500000000003,4,28,0,564.201548804041,8,0.7920235256929243,0.9564506864738346,0.6652937423677742,0.9130778903301445
44,1000,470,530,477,0,0,3541,2836,0.020171296296296295,0.9823125,0.017687499999999967,3,28,0,549.0445429515286,8,0.7952502517571315,0.9574891505297158,0.67160314077964,0.9126997711828708
45,1000,522,478,470,0,0,3506,2762,0.020762731481481483,0.98,0.020000000000000018,2,27,0,524.4539411206079,8,0.7920881831280138,0.9575560114855896,0.6654485748228578,0.9133788602612779
46,1000,523,477,478,44,0,3550,2774,0.02096336961961962,0.98,0.020000000000000018,1,27,0,545.055511290715,8,0.7756150724748421,0.9533689335397728,0.6633947441064785,0.909741029382537
47,1000,521,479,477,46,0,3502,2770,0.021430805805805805,0.9780625,0.021937500000000054,2,27,0,533.687202991082,8,0.7867897589875685,0.9537369875745251,0.658857126009564,0.9111938821737969
48,1000,506,494,479,42,0,3535,2754,0.021929867367367368,0.9781875,0.021812500000000012,6,26,0,541.7579667164096,8,0.7817970289465013,0.9565872843292331,0.6548182969181626,0.9123519079641046
49,1000,508,492,494,12,0,3667,2899,0.022345095095095094,0.9775625,0.0224375,1,26,0,560.1832722731822,8,0.7871302365673144,0.9592441540792435,0.6564678022540371,0.9132417057459539
50,1000,508,492,492,16,0,3669,2958,0.022765922172172173,0.9770625,0.022937500000000055,2,26,0,576.9637800680732,8,0.7937283420125275,0.9579996418627731,0.6463990084753477,0.9135622193466302
51,1000,495,505,492,16,0,3655,2840,0.02302515015015015,0.97625,0.02375000000000005,0,25,0,559.8926770597216,8,0.7795741280236366,0.9642094338985201,0.656312425821336,0.9194068710716343
52,1000,505,495,495,0,0,3744,2892,0.023335648148148147,0.978375,0.021625000000000005,4,25,0,567.075922561533,8,0.7737524239933471,0.9610883075771187,0.6617449650623001,0.916303818660693
53,1000,489,511,495,10,0,3708,2937,0.023911255005005006,0.9755,0.024499999999999966,1,24,0,551.2869549565767,8,0.793546716911782,0.9607875135975333,0.6452356866227479,0.9160866439986534
54,1000,517,483,489,0,0,3653,2873,0.024412193443443444,0.9760625,0.023937499999999945,3,24,0,541.8251855208746,8,0.7934136325646386,0.9605304959919317,0.6349703852647457,0.9161562157551678
55,1000,508,492,483,34,0,3621,2874,0.024900838338338338,0.9746875,0.02531249999999996,2,22,0,567.6987769444539,8,0.7821820620156107,0.9604860170967405,0.6452950284515805,0.9166143697644882
56,1000,510,490,492,16,0,3681,2942,0.025467967967967967,0.978,0.02200000000000002,4,21,0,548.6541129112685,8,0.7963243722436666,0.9648460054295503,0.6429256710762942,0.9205912434747436
57,1000,480,520,490,20,0,3700,2904,0.02601983233233233,0.9746875,0.02531249999999996,1,20,0,572.7029863562638,8,0.7789818527810646,0.9550774226711506,0.6428170328138904,0.9122772807428923
58,1000,508,492,480,0,0,3555,2811,0.026242586336336336,0.9778125,0.022187500000000027,1,20,0,529.0227773695811,8,0.7921817376575693,0.9556060459629966,0.627074207939543,0.9128064806634976
59,1000,506,494,492,16,0,3642,2854,0.02637296671671672,0.9755,0.024499999999999966,3,20,0,528.6117346983342,8,0.7880468086649856,0.9602075436758444,0.6323339500055088,0.9179409627930447
60,1000,508,492,494,12,0,3697,2905,0.026671014764764765,0.9724375,0.027562500000000045,2,20,0,539.9767224707814,8,0.7864600842003522,0.9632154408252516,0.6330473149517539,0.9171356100923023
61,1000,513,487,492,16,0,3705,2941,0.026944131631631632,0.975125,0.02487499999999998,0,20,0,558.6212626118102,8,0.7899846497704656,0.9608484866724887,0.6309524107962312,0.91606437640564
62,1000,493,507,487,26,0,3648,2826,0.027325794544544545,0.9711875,0.02881250000000002,0,20,0,542.7357272968594,8,0.7764169313083277,0.9631074452566029,0.6232414392715903,0.9174163803344088
63,1000,524,476,493,0,0,3713,2856,0.027524806056056055,0.9708125,0.029187500000000033,2,18,0,590.5597523550808,8,0.7766581278071724,0.9589340337107387,0.618568919703831,0.9118768266606435
64,1000,500,500,476,48,0,3547,2772,0.028095407907907908,0.9725,0.02749999999999997,0,18,0,529.7247757899954,8,0.7850617934457962,0.9650503285373244,0.6164042842323765,0.918935997133275
65,1000,515,485,500,0,0,3788,2932,0.02807225975975976,0.9699375,0.030062499999999992,2,18,0,560.5381165919282,8,0.7822718980060717,0.9620461730399856,0.6164670461724988,0.9197698151615443
66,1000,503,497,485,30,0,3642,2882,0.02884715965965966,0.973375,0.02662500000000001,0,17,0,532.9247708916251,8,0.7914711212177888,0.960867667931731,0.6245832365130126,0.9201000447062051
