t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
62,1000,481,519,494,0,0,3740,2931,0.027947353603603602,0.975375,0.024625000000000008,1,16,0,553.281792005804,8,0.7889887296089046,0.962448123693795,0.6203246525200512,0.9165852248059336
63,1000,514,486,481,0,0,3606,2796,0.028567755255255255,0.970625,0.02937500000000004,1,15,0,530.6128533619554,8,0.7768042830792988,0.9604871660146083,0.6178555154279549,0.9136833965330274
64,1000,505,495,486,28,0,3636,2828,0.028761980730730732,0.971125,0.028874999999999984,0,15,0,544.7249346180633,8,0.7824063564674929,0.9656226320906003,0.6169551099877201,0.9188502195665694
65,1000,523,477,495,10,0,3739,2950,0.0291717967967968,0.97325,0.02675000000000005,2,14,0,548.2340832559545,8,0.785348138719017,0.9650142324509273,0.6102025354185632,0.9160296232282278
66,1000,543,457,477,46,0,3607,2879,0.029460397897897898,0.9700625,0.02993749999999995,1,14,0,552.2226860571228,8,0.7913256598179756,0.9646137719788394,0.6054074175060432,0.915935568703198
67,1000,503,497,457,86,0,3454,2674,0.03037937937937938,0.9704375,0.029562500000000047,2,14,0,508.394575475717,8,0.7791763493337542,0.965229991142083,0.6164783581594715,0.9135946444464534
68,1000,484,516,497,6,0,3756,2881,0.03048826951951952,0.971,0.029000000000000026,2,14,0,575.9221997094846,8,0.7698118930269832,0.9640760948551436,0.6061521606176936,0.9146760354940152
69,1000,494,506,484,0,0,3652,2830,0.030938751251251253,0.969,0.031000000000000028,2,14,0,526.1200398875244,8,0.7794344566985384,0.9683876796641271,0.5996211951826905,0.9177480104889313
70,1000,532,468,494,0,0,3768,2879,0.03117505005005005,0.9709375,0.02906249999999999,0,14,0,536.458402029448,8,0.7685958688328333,0.9639050545001188,0.5960816595312658,0.9132262928571686
71,1000,545,455,468,64,0,3535,2715,0.03147053303303303,0.9698125,0.030187500000000034,0,14,0,524.2969445694533,8,0.7641754902563671,0.9628334501768752,0.6021663985726824,0.9095719112184371
72,1000,524,476,455,90,0,3425,2653,0.031761886886886886,0.9704375,0.029562500000000047,1,14,0,515.8151760909917,8,0.777866184305627,0.9656582985801393,0.5785926586793971,0.91463702268865
73,1000,505,495,476,48,0,3600,2799,0.03209102852852853,0.96875,0.03125,0,14,0,539.3279823283536,8,0.7784827125434632,0.9597731488842054,0.5918857842178429,0.9132179633371402
74,1000,513,487,495,10,0,3703,2852,0.03266626001001001,0.9679375,0.032062499999999994,1,14,0,537.5182353650912,8,0.7739776247889701,0.9592730825810597,0.5791862406740192,0.9124154684096605
75,1000,516,484,487,26,0,3637,2785,0.033078078078078076,0.9683125,0.03168749999999998,0,14,0,568.7219588461971,8,0.7735436956082646,0.9624297875961715,0.5799031913833134,0.9115099206485849
76,1000,525,475,484,32,0,3635,2805,0.033247872872872876,0.9655,0.034499999999999975,0,13,0,555.7200334016549,8,0.777252256386242,0.9630345717413548,0.5781417816833068,0.9159304638022897
77,1000,489,511,475,50,0,3576,2786,0.033221315065065066,0.9696875,0.030312499999999964,2,12,0,546.3736529846228,8,0.7693053051547536,0.9558084993330574,0.5800451790326178,0.9063371924612085
78,1000,523,477,489,0,0,3627,2750,0.0337787474974975,0.965875,0.03412499999999996,0,12,0,540.0300818442971,8,0.7709320872913099,0.964353030441429,0.559316839567307,0.917113095230462
79,1000,496,504,477,46,0,3593,2788,0.03413960835835836,0.9665625,0.03343750000000001,1,12,0,519.7312817795159,8,0.7671927217866904,0.960076843689664,0.5679909061017101,0.9122309136469006
80,1000,480,520,496,0,0,3714,2859,0.034672203453453454,0.96525,0.03474999999999995,1,12,0,539.1682446174345,8,0.7711246176805688,0.9571695186217615,0.5633342299749811,0.9097699468655849
